Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.11	cH8ZYBz	Si los çibdadanos non guardaren la iustiçia legal .	si ciues non participarent legalem Iustitiam ,	kX2VcAE
1.2.11	ipe2Oyt	que sin la iustiçia legal non pueden los regnos estar	quod absque legali Iustitia regna durare non possunt .	ty8IEOY
1.2.11	uJH7DFH	es en ellos iustiçia legal .	est in illis Iustitia legalis .	pV6ZN3c
2.3.14	eRoGsaT	es de dar serudunbre legal de ley puesta por los omes	esset dare seruitutem legalem , | et quasi positiuam ,	qBj0AKU, lzrm8YQ
2.3.14	h3nmX8y	Ca decho eslegal	et potentibus . Est enim iustum legale ,	bV3HGm8
2.3.14	wWJtxPn	Mas mas fazen sennorio legal e positiuo	sed magis faciunt ipsum legale et positiuum .	o4yfxo0
2.3.18	eWU87iJ	en lo que se sigue bien commo la iustiçia legales en alguna manera toda uirtud	sicut legalis iustitia est quodammodo omnis virtus ,	bWg7ORm
2.3.18	dEeVoGe	ca assi la commo la iustiçia legales toda uirtud	sicut legalis iustitia est tota virtus per respectum ad impletionem legis .	jtP7bAo
2.3.18	oPpv1Hh	e de iustiçia legal	et a iustitia legali ,	xorFQlG
2.3.18	mbBs3YV	la qual cosa faze el iusto legal .	quod facit iustus legalis :	zoC5TP9
2.3.19	khXrnLj	ca assi conmo conuiene alos çibdadanos de ser iustos e legales	Nam sicut decet ciues	iz05xAU
3.1.3	fK3LQJK	e el que non es legal nin guarda ley	veluti sicut sine iugo existens sicuti volatilia . Tertio aliqui non ciuiliter viuunt propter nimiam bonitatem . Vita enim ciuilis	vqxdi7Y
3.1.3	lDDr3Br	e legales buena uidamas es uida de omne	sed renuentes coniugium et ciuilitatem ,	lKPBzWK
3.2.24	wJ6NHQu	Et alguno es legal e positiuo	quoddam est commune , quoddam proprium ; quoddam est naturale , quoddam legale siue positiuum .	y9DGCP4
3.2.24	dDE2gvh	e ser legal e de ley .	et legale .	sPnXTA0
3.2.29	gM154NY	e que sea sobre la iustiçia legal	et esse supra iustitiam legalem ,	bCErJsc
3.2.29	aFzOrzI	e la clemençia o la piedat maguera parezca conterra la iustiçia legal e positiua .	et clementia licet videantur esse praeter iustitiam legalem et positiuam ;	l20MFCV
