Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.2	pnLRE28	por que dessean natural .	et quidam appetitus naturalis ,	ovnV3vU
1.2.2	vsjmgOp	que el fuego naturalmente es caliente e liuiano	Videmus enim quod ignis naturaliter est calidus ,	wPnthPh
1.2.7	pUg1E0G	que en sennor ee natural . mente .	ne suus principatus in tyrannidem conuertatur . Tertio studere debet ,	ariATJV
1.2.7	lwmEB7C	la terçera que sin la pradençia non puede seer senor naturalmente¶	quia sine ipsa non potest naturaliter dominari .	rMRr3Ic
1.2.7	nLCJaXo	nin enssennorear natural mente .	quia sine ea non possunt naturaliter dominari .	pUObwdj
1.2.7	yMRFwxU	que por esso es dicho alguno naturalmente sieruo	ex hoc est aliquis naturaliter seruus ,	bvTWoWW
1.2.7	e2uIOIN	Et por ende es dicho alguno naturalmente señor	Ex hoc autem naturaliter est Dominus ,	kUrXq6L
1.2.7	q2n8rq3	e confirman la todos los gouernamientos naturales .	sed etiam confirmant singula regimina naturalia . Videmus enim naturaliter homines dominari bestiis ,	rqvXDA1
1.2.7	wrbNFyb	Ca uehemos que los omes son naturalmente sennores delas bestias	sed etiam confirmant singula regimina naturalia . Videmus enim naturaliter homines dominari bestiis ,	rqvXDA1
1.2.7	tezlQBI	Ca los omes naturalmente sen sennores delas bestias	Senes pueris . Homines naturaliter dominantur bestiis ,	ql1vl0g
1.2.7	nWklYzW	Et por ende por la mayor parte la muger deue ser naturalmente subietta al ome	Ergo foemina viro naturaliter debet esse subiecta ,	aNAcJkb
1.2.7	w2K2sZJ	por que naturalmente fallesçe dela sabiduria del omne	eo quod naturaliter deficiat a viri prudentia .	jy9bhYM
1.2.7	pHQckLy	que naturalmente sean subiectos de los mas antigos	Hoc etiam modo iuuenes naturaliter decet antiquioribus esse subiectos ,	jRkXXMQ
1.2.7	orcszCh	pues que assi es do quier que ay mengua de sabiduria ay naturalmente seruidunbre .	et illud natureliter dominatur , semper principans pollet prudentia , a qua deficit qui naturaliter seruus existit .	itE4rCh
1.2.7	pqGdpr5	Et do quier que ay sabiduria ha naturalmente sennorio .	et illud natureliter dominatur , semper principans pollet prudentia , a qua deficit qui naturaliter seruus existit .	itE4rCh
1.2.7	qOlVryi	por cuya mengua el sieruo esta naturalmente en su seruidunbre .	quod polleat prudentia , et intellectu . Quot ,	pDnSoGJ
1.2.7	l3wBvua	por que naturalmente sea sennor conuiene	si	rzJuVqz
1.2.8	k63kSeH	que es enxerida naturalmente alos omes .	qui est inditus hominibus ,	rqX5W2E
1.2.9	e6NlLcI	naturalmente deuen cuydar primero en los tpons passados	excogitando primo tempora retroacta ,	uMmZKcD
1.2.11	mOXyBH0	e canda vna comunidat semeia avn cuerpo natural .	et quaelibet congregatio assimilatur cuidam corpori naturali . Sicut enim videmus corpus animalis constare ex diuersis membris connexis ,	n43AKDN
1.2.11	jAPbeFM	el cuerpo natural non podria estat	corpus naturale non posset subsistere . Sic	pvstAnp
1.2.11	zjVTcoW	por sabiduria natural	sine qua corpus naturale durare non posset :	lPtp3vg
1.2.11	fjlQ6MN	assi conmo el cuerpo natural no podria estar	et bona tribuere . Sicut ergo corpus naturale | non subsisteret ,	fDlJLgf, neOHa7L
1.2.11	hedorNT	que assi commo cada vna desigualdat non tuelle la uida del cuerpo natural	quod sicut non quaelibet inaequalitas tollit vitam corporis naturalis ,	zSE75hY
1.2.13	pNdp77M	Et naturalmente cada vno fuye dela tristoza	ut plurimum tristia sunt . Tristia autem naturaliter quilibet fugit , sicut naturaliter sequitur delectabilia .	rjYZJZ5
1.2.13	zunrbGj	assi commo naturalmente sigue las cosas delectables .	ut plurimum tristia sunt . Tristia autem naturaliter quilibet fugit , sicut naturaliter sequitur delectabilia .	rjYZJZ5
1.2.13	gBxkmZl	Et pues que assi es commo nos natural mente fuyamos dela tristeza	Cum ergo naturaliter tristia fugiamus ,	y3qZ6EQ
1.2.17	rwdpaSp	Ca cada hun omne es naturalmente inclinado a amar asi mismo	quia unusquisque naturaliter inclinatur | ut se diligat ,	laAdaSB, qAlRsUP
1.2.17	jgFRJ8N	e naturalmente amamos	et naturaliter afficimur ad illa . Immo auari adeo afficiuntur	xTMcXkG
1.2.18	mE38pOu	Ca si el regno de cada vno dios Reyes deue ser natural	Nam si regnum alicuius debet esse naturale ,	lymyD0w
1.2.18	kUg6FhH	que nos veemos en la nataleza e en las cosas naturales	debet his quae videmus in natura . In naturalibus autem nihil est ociosum ,	bcXhMXp
1.2.18	wu9osCr	por la qual razon commo la naturaleza de los omes se tenga por pagada de pocas cosas	cum natura humana modicis contenta sit ,	snfAuVJ
1.2.19	zB2H5eu	Mas commo en cada cosa mas e menos non fagan departimiento en la naturaleza	Sed cum magis , | et minus non videantur diuersificare speciem ,	p9OBdAe, sJ8lp1O
1.2.27	bhXWPxX	por lo que ha razon de se ensannar . Ca natural cosa es anos	Nam naturale est nobis	it4TiTJ
1.2.27	pCwZnxW	Et non solamente naturalmente somos inclinados	non solum naturaliter inclinamur ,	itAmsJv
1.2.27	sg8T8vj	Mas avn en alguna manera natural cosa esa nos de dessear	sed etiam quodammodo naturale est nobis appetere punitionem ultra condignum .	yHeIBtU
1.2.28	et80wLl	Ca si el omne es naturalmente animalia aconpanable	Si enim homo est naturaliter animal sociale ,	zh7P3zN
1.2.29	dPTPb2j	La primera por que cada vno naturalmente es Inclinado a querer su bien propio	Quilibet enim ita naturaliter afficitur | ad proprium bonum ,	i9IT5FG, yGBv7D8
1.2.31	oHyBEoO	O en quanto son naturales	vel ut sunt naturales ,	vK8iVl0
1.2.31	e4wPEQM	Mas lasuirtudes naturales e non conplidas	Virtutes autem naturales et imperfectae ,	u8I4xuT
1.2.31	rRV7G5C	por que veemos alguons naturalmente auer alguna n industria	Videmus enim aliquos naturaliter habere quandam industriam ,	wtwsF3a
1.2.31	yFd6aQE	por que han algpradençia natural empero non son liberales Et pues que assi es en esta manera las uirtudes	non tamen liberales existunt . Sic ergo virtutes non connectuntur .	lJQ369E
1.2.31	zZpsti7	que es aꝑcebimiento natural .	et industria ,	x4WOmcU
1.2.33	kn2J6qe	que por prinçipios puros naturales podriemos escusar todos los males	violentium quod ex puris naturalibus possemus | omnia mala vitare ,	hQ4T424, xscoH17
1.3.2	yL2jSGa	mas conosçida anos la naturaleza delas passiones	quia ex omnibus his magis innotescit nobis natura ipsarum passionum ,	dl2yCx4
1.3.2	fPkV22G	e en figua a la qual naturaleza conosçida poremos conosçer	qua cognita ,	wnmc9MO
1.3.3	hd96dUR	assymismo en bondat . La razon natural muestra	naturalis ratio	oUj2oC2
1.3.3	r42Evxm	por inclinacion natural	ex naturali enim instinctu cum quis vult percuti ,	acAUVm3
1.3.3	i8TzYtA	Et esto por inclinaçion natural pone el braço a periglo		
1.3.4	ngbIkD7	Ca los fechͣs e las obras morales son semeiables en alguna manera alas cosas naturales .	Nam gesta moralia quodammodo rebus naturalibus sunt similia .	dR6Blga
1.3.4	eUuJxv5	Ca assi commo los cuerpos naturales	Nam sicut corpora naturalia per suas formas ,	hvqdhe3
1.3.4	dYOLfID	Ca assi commo en las cosas naturales beemos	Sic enim in naturalibus videmus ,	cT1weft
1.3.4	ssnRArT	Empero naturalmente el mouimiento ayuso toma medida e manera dela pesadura	naturaliter | tamen motus deorsum sumit mensuram	dOCwan5, a1mnbmb
1.3.4	f7RAiKh	es entendida la salud del cuerpo natural .	sicut in arte medicandi principaliter intenditur sanitas corporis : naturaliter decet Reges	v7Qt8tE
1.3.5	bkt9qcr	mucho la calentura natural	nam quia nimis abundat in eis calor ,	iUWkhnl
1.3.6	fYAkJOA	por que quando alguno teme la calentura natural	Cum enim quis timet , calor ad interiora progreditur ; modum enim ,	iQss7f7
1.3.6	pvgmNYw	podemos lo ueer en la calentura del cuerpo natural .	aspicere possumus in calore corporis naturalis .	xBNi7BB
1.3.6	qnGoTMC	quando alguno teme la calentura natural	vel ad arcem :	esAtxnn
1.3.6	plZEWKg	Ca por el temor la calentura natural tornase alos mienbros de dentro e los mienbros de fuera fincan frios .	Nam propter timorem calore progrediente ad interiora ,	tjy7S34
1.4.1	hMM6Ym4	por que en ellos abonda mucho calentura natural .	quia in eis multum abundat calor :	nc84MHe
1.4.1	viToVTO	por la calentura natural	corde ergo et aliis membris inflammatis ex calore existente in ipsis iuuenibus , fiunt iuuenes bonae spei ,	gV9vMYx
1.4.1	cWpE1kF	e segunt cursso natural deuen much beuir en el tienpo	et | secundum cursum naturalem debent multum viuere in futuro .	jgrvmdr, v7tJ5jv
1.4.1	zmuH9kZ	por la calentura natural desse an sobrepuiar	qui percalidi nimis affectent excellere ,	uOuInfY
1.4.2	tebkUbI	Por ende la natural disposiçion del cueꝑpo mueue	naturalis dispositio corporis incitat iuuenes ad concupiscentias venereorum .	bLr6TUF
1.4.2	cBp1UMz	Et pues que assi es commo natural cosa sea	Cum ergo naturale sit ,	aK2U9i0
1.4.3	vp9P5J6	qual quier que es inclinado naturalmente a alguna passion	Quicunque naturaliter sic disponitur ,	pGhBzGy
1.4.3	mhJskxc	Et qual si quier que naturalmente es frio naturalmente es temeroso	quicunque est naturaliter frigidus , sequitur	ecULZ6R
1.4.3	n1o9vsL	Et por ende siguese que los uieios son naturalmente temerosos . Ca fallesçe enellos la calentura natural	quod sit naturaliter formidolosus . Sequitur ergo senes esse naturaliter timidos , | quia deficit in eis naturalis calor ,	cFNFCv8, qX2IDSl
1.4.3	evQGE4A	e han los mienbs naturalmente frios ¶	et habent membra naturaliter frigida .	b8zgF0X
1.4.3	xLyiqzZ	e en la calentura natural	et in calore naturali : sic deficiunt in animo ,	u80mUqh
1.4.4	jLW1nU4	Et esto es contra la razon natural del frio .	Hoc autem est contra rationem frigidi .	nHmrn43
1.4.4	sgatjcM	por que segunt cuisu natural	quia	pPol6DJ
1.4.4	qOA0FxM	e aquellos que son en estado medianero han alguna inclinacion natural alas costunbres	et illi qui sunt in statu , | quandam pronitatem , et inclinationem habent	o4bvAwj, jAdurCD
1.4.4	z3akP8M	por que assi commo los vieios e los mançebos maguera ayan disposiconn e indinacion natural ha costunbres malas	quia sicut senes , | et iuuenes habent quandam pronitatem naturalem ,	jfCvoYh, hxYGGNm
1.4.4	w8qGpth	e inclina conn natural	possunt tamen contra illam pronitatem facere consequi laudabiles mores .	nYFfhqi
1.4.4	mdbk2ZA	e fazer contra esta disposiçion natural	possunt tamen contra istam pronitatem facere ,	a0WeRwP
1.4.5	jFIiMqC	Ca natural cosa es	Naturale est enim ,	yRhiPPT
1.4.5	kovCGdI	por que los fijos son fechuras de los padron natural cosa es	cum filii sint quidam effectus parentum ,	psu4m0J
1.4.5	vamR1mC	Ca natural cosa es	Naturale est enim ,	hGJPYeU
1.4.5	ywBziWr	e los prinçipes non puedan naturalmente ensseñorear	cum non possint naturaliter dominari ,	qLIRGtm
2.1.1	rptnAi5	que naturalmente es fecha todas aquellas cosas le son naturales	quod naturaliter fit , | naturalia sunt ea ,	tpIE2gI, j2z9PwX
2.1.1	xUfJSvs	si las cosas naturales en ninguna manera non se pudiessen guardar	si res naturales nullo modo conseruarentur in esse ,	s0fGzmk
2.1.1	y90pR23	assi mesmo en la uida son colas naturales al omne	quae faciunt ad bene viuere , et sine quibus non potest sibi in vita sufficere , sunt homini naturalia :	tKFOKLv
2.1.1	lrboMY0	Et por ende naturalmente el omne esaianlia aconpanable e conpanera	naturaliter ergo homo est animal sociabile .	zIcEvj4
2.1.1	d60OESQ	e las o tristales dales gouernamiento delas otrasaian lias que naturalmen te son engendradas .	et caeteris talibus , administratur nutrimentum ex caeteris animalibus , | quae naturaliter producuntur .	qtZ4DmD, bV5hgCi
2.1.1	tQl9q8y	que auemos mester El omne es naturalmente con panno	quo indigemus , | homo est naturaliter animal sociale .	ebTSEGV, oQlQgou
2.1.1	s3wjNSc	que han natural uestido	quasi naturale indumentum , habere videntur lanam , vel pennas . Homini autem non sufficienter prouidet natura in vestitu :	gOfITFG
2.1.1	tuqUJIn	siguese que el o omne ha natural inclinamiento	quod homo naturalem impetum habeat	yP3W2gt
2.1.1	c5nECwi	para guardar la uida natural delos omes	Sed si haec sunt necessaria ad conseruandam hominis naturalem vitam ,	xtbwxw7
2.1.1	nuOUj17	e en comunidat es en alguna manera natural alos omes ¶	et in societate est quodammodo homini naturale .	z6hsLo9
2.1.1	cAb5r5m	Par la qual cosa si natural cosa es al omne de dessear conseruaçion	Quare si naturale est homini desiderare conseruationem vitae ,	bYS2Qcc
2.1.1	q4YwjPo	por ende natural cosa es ael	naturale est ei , ut desideret viuere in communitate ,	i1h0omS
2.1.1	v1l6sjn	que deuen por inclinaçion natural sin ninguno otro ensseñamiento primero	Nam alia animalia sufficienter inclinantur ad opera sibi debita ex instinctu naturae absque introductione aliqua praecedente :	bOhSEF8
2.1.1	gms3z2X	por inclinaçion natural alas obras qual conuienen	ad opera sibi debita ,	iK9oLY1
2.1.1	sML0k6Q	Por ende natural cosa es al omne de beuir con los otros omes	naturale est homini simul conuiuere cum aliis ,	iJz2UZZ
2.1.1	msMRjHV	que tanne por las quales praeua el omne es naturalmente aial aconpannable	quas tangit , probantes hominem naturaliter esse sociale animal , potissime innititur huic rationi , videlicet ,	yXLGlkW
2.1.1	jrpt7sW	mas naturalmente es aial aconpanable	sequitur hominem magis naturaliter esse animal sociale ,	oMdaw6O
2.1.1	whtDRAH	assi es cosa natural al omne	Quare si sic naturale est , hominem esse animal sociale : recusantes societatem ,	td9PPUl
2.1.2	du0Ra57	Et pues que assi es natural fazimiento e comienço del uarrio	Naturalis ergo origo vici ,	rEUtjwd
2.1.2	iH67QcD	que esta generaciones muy natural	ad praesens vero in tantum dictum sit , quod huiusmodi generatio est maxime generalis :	rMBkHmb
2.1.3	cK9llbD	en alguna manera esta comunidat dela cała es natural	de leui videri potest , | quomodo sit huiusmodi communitas naturalis .	bsK6As9, e6YEevd
2.1.3	vl9WkF0	que dela cosa naturales presunpuesta e antepuesta non puede ser propreamente cosa artifiçial	non proprie quid artificiale erit , | sed oportet illud	awStaFt, vbrgTqG
2.1.3	xxWv3Z1	mas conuiene que aquello en quanto es tal sea cosa natural	( secundum quod huiusmodi est ) | naturale esse .	oPpXLeK, rl0DuRF
2.1.3	yEPHwMT	Por la qual cosa si el omne es naturalmente ai al comiuncable	Quare si homo est naturaliter animal communicatiuum	d1Bantc
2.1.3	zXGUqHo	conuiene quala comunidat dela casa o la casa sea cosa natural .	oportet communitatem domesticam siue domum | quid naturale esse .	yjOUs6g, g9YvN4k
2.1.3	utRx2Jn	ca es comunidat en alguna manera natural	et ut cognoscant quae et qualis est communitas domus	qWuSPrU
2.1.4	x4Ts77x	que el omne es naturalmente ainalia domestica e de casa	cum ostensum sit quod homo est naturaliter animal domesticum ,	zeb9eL3
2.1.4	f4hGVfh	e quela comunidat dela casa es en alguna manera natural .	et quod communitas domus est quodammodo naturalis .	pLMiefr
2.1.4	oiwWc20	segunt natura e natural de suso es prouado gruesamente e figuaalmente	secundum naturam , superius grosse et figuraliter probabatur ,	wzcw9BA
2.1.4	cQA2LxH	e prouaremos que cada vna ꝑtetal dela casa es cosa natural .	quod quaelibet talis pars est aliquid naturale .	gJpuTpP
2.1.4	ckvwDO0	Ca es comunidat natural e establesçida	quia est communitas naturalis constituita propter opera diurnalia et quotidiana .	ijFv8cq
2.1.5	mk3g8jy	mas adelante es cosa natural .	est quid naturale .	fxPfbnC
2.1.5	e0HFBmf	Ca prinçipalmente cosa natural es la generaçion delas cosas	Maxime autem quid naturale esse videtur ,	cTwOrIm
2.1.5	okHXKJb	et commo las cosas naturales resçiban su naturaleza propra a	et cum res naturales per generationem propriam naturam accipiant ,	tM6mAxA
2.1.5	q4K7tN5	que la generaçion es cosa natural	generationem esse quid naturale ,	fNLpz87
2.1.5	l6pNKRl	Ca en vano seria algua cosa engendrada naturalmente	Nam frustra esset aliquid naturaliter generatum ,	qOeW6mf
2.1.5	nwjnmsn	fazen ser la casa cosa natural .	quid naturale :	eOVColJ
2.1.5	f1puPxz	e la conseruaçion es cosa natural	et serui ad conseruationem . Quare si generatio et conseruatio est quid naturale ,	yFud39q
2.1.5	sfw2tn3	conuiene que la casa sea cosa natural ¶	oportet domum quid naturale esse . Amplius ,	q0BLCed
2.1.5	bEWsgho	Por que naturalmente los sennores han mayor sabiduria	nam naturaliter domini vigent prudentia , et intellectu .	bJA4uQn
2.1.6	o2LI8y1	Ca ueemos en las cosas naturales	Videmus enim in naturalibus rebus quod statim quum generatae sunt ,	wnJpwzg
2.1.6	pvv0Gem	por que non puede la cosa natural	quia non statim cum est res naturalis ,	ryaeWAU
2.1.6	wtD9e7U	non pertenesçe a cosa natural tomada	non est	gUL7xJN
2.1.6	r25iDVw	mas pertenesçe a cosa natural	de ratione rei naturalis quocumque modo , sumptae ; sed est de ratione eius ,	jx90mTC
2.1.6	ol3bfXM	Et pues que assi es si la casa es cosa natural	Si ergo domus est quid naturale ,	aCKGSHO
2.1.6	ieg6aD1	a razones naturales	reducere volumus in naturales causas ,	q3ZWoBY
2.1.6	tSUQfde	segunt orden natural	propter quod ordine naturali quae videmus in multitudine domestica ,	j2l1ie8
2.1.6	thIG1r6	e dela fructificaçion natural	et fructificationis naturalis .	h1sjons
2.1.6	hqS4Ait	para prouar esto mesmo se toma de acabamiento de comunindat natural duradera	sumitur ex parte naturalis perpetuitatis .	blQEGuk
2.1.6	br4rDKH	Por que la morada continuada dela casa en vna manera es natural	ut si per creationem filiorum domus ista continue habitetur .	oedXRJO
2.1.6	pb0bbeJ	assi comm̃ natural casual e auentura	Alio modo est quasi casualis ,	luDNBdh
2.1.6	bH1GnFY	Et pues que assi es la morada natural dela casa	Naturalis ergo habitatio domestica naturaliter perpetuari non potest ,	vUTBerh
2.1.6	x6InPxN	non puede durar naturalmente	Naturalis ergo habitatio domestica naturaliter perpetuari non potest ,	vUTBerh
2.1.6	oSySdG2	naturalmente en alguna manera puede durar	ubi desunt filii ,	hEw6yWQ
2.1.7	nbQk6VA	Et que el omne naturalmente esaianl coniugable e ayuntable en mater moino .	et quod homo naturaliter est animal coniugale . Sciendum ergo quod Philosophus 8 Ethic’ volens ostendere qualis amicitia sit viri	cy0wJc5
2.1.7	wo7Sqwo	que el omne sea naturalmente aianl conuigable¶	secundum naturam : adducens triplicem rationem quod homo sit naturaliter animal coniugale .	mUHykyp
2.1.7	usMPwx2	que el omne es naturalmente aina l aconpannable e comun incatiuo	hominem esse naturaliter animal sociale et communicatiuum . Communitas autem in vita humana	x44AbQ1
2.1.7	br6eWYs	Et el omne naturalmente es	homo naturaliter magis est animal de mesticum ,	kQLa1lS
2.1.7	vu3e4J7	que es natural al omne	quam ciuile : et communitas domus magis videtur esse naturalis ipsi homini ,	q4nvaTH
2.1.7	hdrVywL	mas es natural al omne	quin communitas domus magis sit naturalis homini ,	odZERF4
2.1.7	voJC8qw	Ca aquella cosaparesçe ser mayormente natural	Nam illud maxime videtur naturale ,	pZdPdkN
2.1.7	tUQ3vkC	ala qual el omne ha natural inclinaçion	ad quod homo habet naturalem impetum :	cX8XtIh
2.1.7	yKnIkKF	por la qual cosa commo todas las ainalias naturalmente sean inclinadas	et omnia animalia naturaliter inclinentur ,	nofhwa7
2.1.7	pbFFbBU	por ende el omne es naturalmente aianl conuuigable e ayuntable por casamiento .	homo naturaliter est animal coniugale .	xbkMvya
2.1.7	lIRmQMt	por que natural cola es al omne	quia naturale est homini ,	lTHOvxk
2.1.7	xNkLSnD	e atondas las aianlias auer natural inclinaçion	et omnibus animalibus ,	clQER7X
2.1.7	y0cGf4v	Por la qual cosa si natural cosa es al omne de auer inclinaçion	Quare si naturale est homini ,	byI7aJ1
2.1.7	bpEaVsE	e appetito al abastamiento dela uida natural cosa es a el de querer ser a i al conuigable	habere impetum ad sufficientiam vitae : | naturale est ei ,	hwaU5rx, xq41TKY
2.1.7	luc6wYB	mas si el ma termonio es cosa natural siguese	Sed si coniugium est	dMpbxBR
2.1.7	i1yvAGX	assi conmo aquella que es contraria ala cosa natural .	tanquam aliquid contrarium rei naturali :	kupzW3O
2.1.7	vEM0Ytr	Ca si el casamiento es al omne natural	Nam si coniugium est homini naturale ,	xwQo2vo
2.1.7	mpG6fQc	Ca si natural cosa es al omne	Nam si naturale est homini esse animal coniugale ,	lh2c5IZ
2.1.8	xdM18ld	o de parte dela amistança natural	vel ex parte amicitiae naturalis ,	fdtXNvC
2.1.8	ga4BAue	Ca commo entre el uaron e la muger sea amistança natural	et econuerso . Cum enim inter virum et uxorem sit amicitia naturalis ,	wfdtDP9
2.1.8	ezTHfge	commo non sea natural amistan	cum non fit naturalis amicitia	kc5JeLZ
2.1.8	aM54MiW	e para que entre el uaron e la muger sea amistança natural conuiene que guarden vno a otro fe e lealtad	et ad hoc quod inter uxorem et virum sit amicitia naturalis , | oportet quod sibi inuicem seruent fidem ,	r0aYiMw, fzeHH1Q
2.1.8	t7iazfK	por que naturalmente aman a sus fijos	qui naturaliter diligunt suam prolem , ex dilectione naturali quam habent ad ipsam ,	kgsgjP8
2.1.8	oI6t3pP	por el amor natural	qui naturaliter diligunt suam prolem , ex dilectione naturali quam habent ad ipsam ,	kgsgjP8
2.1.8	w0mS75B	que han con ellos acresçientase entre ellos amorio natural	augmentatur eorum amicitia naturalis .	xQGA19r
2.1.9	ooCWMQU	delas ethicas entre ellos es amistança muy grande e muy natural .	est amicitia excellens | et naturalis .	vHhCT3u, mizfmcB
2.1.9	sfwRRwf	Ca commo el matermonio sea cosa natural	Nam cum coniugium sit | quid naturale :	x0yrvsm, gqGNUZ2
2.1.9	hNx4670	non abaste la fenbra sola natural cosa es alos omes	naturale est hominibus	hiKlUSu
2.1.9	tVKcE8m	Ca nos deuemos iudgar las cosas naturales	Ea enim naturalia iudicare debemus	r0UIJCr
2.1.9	kEh28JK	que natural cosa es al omne	ut naturale est homini quod sit dexter ,	vdhncz0
2.1.9	i6sMBEf	Empero por que non es iudgar la cosa natural	quia tamen naturale non est iudicandum illud quod est in paucioribus ,	s48VfOz
2.1.9	kwlKay1	que es cosa natural	reliquum est ut in hominibus iudicetur quid naturale ,	fnft1pe
2.1.9	tRxfBca	e dela madre sea cosa natural	naturale sit	buKDGQf
