Localisation	Id. source	Segment source	Segment cible	Id. cible
3.1.6	gHbPWO9	Et por que mas ligeramente sennoreasse sobre ellos	et ut facilius eis dominaretur ,	wakdnVL
3.1.6	ovEJPt8	assi como si alguno quisiesse senorear alguna çibdat	ut si quis dominans alicui ciuitati per tyrannidem	p2ydXeP
3.2.3	jXgDNhX	que si fuere vno lo lo el que enssennoreaua aura mayor paz en la çibdat	ergo si solus unus principaretur | inter eos ,	nytit0C, qjiTl5E
3.2.4	cxyRJCL	ca si el Rey dessea enssennorear	nam si Rex recte dominari desiderat ,	zxk41lO
3.2.7	ezIP4vj	de non enssennorear con sennorio de tirania	ne principentur principatu tyrannico ,	omP3GcD
3.2.7	gLaM94X	de non enssennorear con señorio de tirania	ne dominetur | per tyrannidem	ommJ2Bz, dtVStMq
3.2.12	jDIei4z	Mas si enssennorear en pocos	et vocatur aristocratia siue principatus bonorum . Si vero dominentur non quia boni ,	avEhxzI
3.2.12	cdBHY73	por que pueda mas enssennorear	ut magis principari possit ,	kutui5g
3.2.15	dzvWDdE	en qual manera deua enssennorear	ut sciat cognoscere qualiter principari debeat ,	z1TPmJx
3.2.19	dNbLhgb	por que escogiendo la meior manera de prinçipar o de enssennorear ponga leyes muy derechos .	ut eligens optimum modum principandi , | ferat leges iustissimas ,	ehGesZP, ohAZ1pt
3.2.19	rbrUcCX	Mas qual es la manera muy buena de prinçipar o de enssennorear .	Quis sit autem optimus modus principandi ,	pvj2GIv
3.2.29	maYBZKU	que aquel que manda enssenerorear al entendimiento manda enssennorear a dios e ala ley .	quod qui iubet principari intellectum , | iubet principari deum et legem ;	s2g43rz, qPLvfsV
3.2.29	tJquAgg	as quien manda enssennorear al omne	sed qui iubet principari hominem ,	dnjBnaO
3.2.29	csXwfo9	que en el derecho gouernamiento non deue enssennorear la bestia	quod in recto regimine principari non debet bestia ,	lG3cRwA
3.2.30	dibUPIE	Ca non puede ser que ninguno pueda enssennorear prolongadamente	non enim esset possibile aliquem diuturne principari ,	jJSN9R5
3.2.33	oEi1D4O	e en grand pobreza non saben enssennorear	secundum excessum sunt indigentes et pauperes ,	p3p8VeM
